"","temperature","lambda_peak","lambda_peak_error","Tinv"
"1",2104.90994916485,3.33051757503619e-07,1.32634470852729e-09,0.000475079706092302
"2",2148.11286570972,3.33406340744899e-07,1.11759886496876e-09,0.000465524887431652
"3",2187.2367867099,3.33343139186764e-07,3.09828510772009e-09,0.000457197869968265
"4",2228.06318676696,3.34579404948456e-07,1.91702391621369e-09,0.000448820305429064
"5",2267.75552015576,3.32343229633351e-07,1.35514381008231e-09,0.000440964641519786
"6",2303.63266831421,3.31210964791664e-07,1.4575758154553e-09,0.000434096986795988
"7",2338.54016381973,3.32076493126062e-07,6.69122525964757e-10,0.000427617201308451
"8",2375.17177751228,3.30808173250898e-07,1.79034102269802e-10,0.000421022180150433
"9",2380.9299911558,3.33087963177846e-07,3.51693802222107e-09,0.000420003949597258
"10",2413.05636736819,3.31214995088256e-07,1.36129077683138e-09,0.00041441220085988
"11",2446.88997272759,3.31824048452662e-07,1.23689508873559e-09,0.000408682045840125
"12",2479.87773795301,3.31109235072749e-07,3.02183273106228e-10,0.000403245686146383
"13",2512.0509904568,3.31900074915286e-07,5.48246556451023e-10,0.000398081091426474
